striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
Babar Azam,134,4545,3542,1232,1575,272,18,473,80,114.0,39.87,128.32,0.16
RG Sharma,144,4042,2874,1173,1037,164,15,364,196,129.0,31.33,140.64,0.19
JC Buttler,139,3999,2699,1019,975,229,16,367,175,113.0,35.39,148.17,0.2
V Kohli,112,3969,2917,931,1348,257,7,349,115,81.0,49.0,136.06,0.16
S Mandhana,137,3933,3104,1456,1026,123,7,537,82,121.0,32.5,126.71,0.2
MJ Guptill,117,3517,2587,1112,925,146,8,307,173,108.0,32.56,135.95,0.19
BL Mooney,110,3501,2773,1062,1108,212,13,454,19,82.0,42.7,126.25,0.17
Mohammad Rizwan,91,3386,2687,975,1156,241,16,284,94,66.0,51.3,126.01,0.14
DA Warner,108,3254,2279,943,760,179,24,333,122,96.0,33.9,142.78,0.2
SA Yadav,105,3220,1980,721,734,123,6,293,175,86.0,37.44,162.63,0.24
SW Bates,114,3166,2884,1222,1093,231,19,348,27,101.0,31.35,109.78,0.13
AC Jayangani,119,3163,2739,1522,716,114,3,419,89,108.0,29.29,115.48,0.19
PR Stirling,130,3160,2360,1081,731,123,13,365,114,118.0,26.78,133.9,0.2
DN Wyatt,136,3130,2372,951,837,181,20,399,45,122.0,25.66,131.96,0.19
AJ Finch,103,3120,2189,900,742,175,14,309,125,89.0,35.06,142.53,0.2
Q de Kock,104,2986,2096,888,723,132,9,301,128,95.0,31.43,142.46,0.2
GH Lewis,107,2972,2510,1201,783,147,11,425,27,89.0,33.39,118.41,0.18
H Kaur,127,2946,2597,1070,1096,150,6,296,58,96.0,30.69,113.44,0.14
HK Matthews,106,2923,2520,1258,795,138,14,379,49,93.0,31.43,115.99,0.17
Virandeep Singh,97,2892,2299,967,920,133,4,257,111,80.0,36.15,125.79,0.16
ER Oza,98,2806,2359,1132,729,196,9,338,51,82.0,34.22,118.95,0.16
SFM Devine,105,2793,2257,977,845,143,7,268,94,89.0,31.38,123.75,0.16
GJ Maxwell,114,2785,1804,689,655,159,6,231,145,97.0,28.71,154.38,0.21
DA Miller,121,2778,1965,674,867,170,1,182,140,81.0,34.3,141.37,0.16
AJ Healy,117,2727,2089,964,646,125,9,373,52,100.0,27.27,130.54,0.2
