bowler,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate
TG Southee,122,2763,3737.0,164,111,5,1240,460.5,8.12,22.79,16.85
IS Sodhi,132,2738,3723.0,161,86,4,983,456.33,8.16,23.12,17.01
AU Rashid,136,2994,3739.0,161,47,1,1132,499.0,7.49,23.22,18.6
DB Sharma,129,2795,2882.0,149,55,1,1269,465.83,6.19,19.34,18.76
Mustafizur Rahman,114,2496,3025.0,148,119,9,1220,416.0,7.27,20.44,16.86
PWH de Silva,86,1954,2338.0,146,9,3,741,325.67,7.18,16.01,13.38
A Zampa,110,2419,2984.0,143,37,2,883,403.17,7.4,20.87,16.92
S Ecclestone,100,2252,2244.0,142,39,2,1137,375.33,5.98,15.8,15.86
ML Schutt,116,2377,2542.0,142,65,11,1216,396.17,6.42,17.9,16.74
MJ Santner,130,2772,3313.0,142,84,3,1167,462.0,7.17,23.33,19.52
Ehsan Khan,95,2084,2165.0,133,53,3,1032,347.33,6.23,16.28,15.67
Rizwan Butt,89,1921,2192.0,133,64,11,980,320.17,6.85,16.48,14.44
Shaheen Shah Afridi,99,2139,2827.0,132,79,10,1044,356.5,7.93,21.42,16.2
Shakib Al Hasan,110,2378,2744.0,131,37,2,961,396.33,6.92,20.95,18.15
T Putthawong,81,1750,1247.0,129,41,3,1111,291.67,4.28,9.67,13.57
MR Adair,91,1977,2562.0,128,122,10,976,329.5,7.78,20.02,15.45
Haris Rauf,88,1920,2675.0,126,61,2,806,320.0,8.36,21.23,15.24
S Lamichhane,69,1565,1632.0,123,37,1,811,260.83,6.26,13.27,12.72
Arshdeep Singh,78,1663,2384.0,121,101,17,843,277.17,8.6,19.7,13.74
JJ Bumrah,90,1978,2185.0,118,45,11,1000,329.67,6.63,18.52,16.76
Shadab Khan,110,2311,2890.0,118,43,1,865,385.17,7.5,24.49,19.58
Ali Dawood,74,1592,1631.0,115,58,10,857,265.33,6.15,14.18,13.84
HH Pandya,123,2201,3057.0,114,111,4,972,366.83,8.33,26.82,19.31
Nida Dar,122,2467,2456.0,111,58,5,1123,411.17,5.97,22.13,22.23
O Kamchomphu,95,1798,1427.0,110,24,8,951,299.67,4.76,12.97,16.35
CJ Jordan,93,1941,2829.0,109,84,9,775,323.5,8.74,25.95,17.81
SL Malinga,83,1812,2244.0,108,85,14,807,302.0,7.43,20.78,16.78
Vaishnave Mahesh,83,1533,1229.0,107,54,2,922,255.5,4.81,11.49,14.33
HK Matthews,100,1993,2094.0,107,25,5,877,332.17,6.3,19.57,18.63
Nahida Akter,89,1838,1801.0,106,23,1,883,306.33,5.88,16.99,17.34
JO Holder,89,1941,2841.0,105,101,6,791,323.5,8.78,27.06,18.49
R Ngarava,82,1754,2125.0,104,76,18,947,292.33,7.27,20.43,16.87
Shahid Afridi,102,2224,2521.0,104,45,3,882,370.67,6.8,24.24,21.38
AC Kerr,93,2045,2071.0,104,39,2,851,340.83,6.08,19.91,19.66
Karan KC,84,1621,2106.0,102,46,6,813,270.17,7.8,20.65,15.89
RP Yadav,85,1761,1952.0,101,29,12,771,293.5,6.65,19.33,17.44
KY Chan,72,1441,1064.0,101,51,4,889,240.17,4.43,10.53,14.27
H Ssenyondo,78,1621,1443.0,100,14,0,816,270.17,5.34,14.43,16.21
Virandeep Singh,83,1533,1429.0,99,38,0,743,255.5,5.59,14.43,15.48
C Aweko,83,1878,1321.0,99,44,2,1151,313.0,4.22,13.34,18.97
Sikandar Raza,102,1896,2192.0,98,43,7,706,316.0,6.94,22.37,19.35
ASS Fletcher,95,1887,1959.0,98,44,6,813,314.5,6.23,19.99,19.26
Taskin Ahmed,78,1682,2183.0,98,50,11,830,280.33,7.79,22.28,17.16
YS Chahal,79,1764,2409.0,96,51,5,656,294.0,8.19,25.09,18.38
Pavandeep Singh,78,1739,1741.0,96,108,0,1011,289.83,6.01,18.14,18.11
Aizaz Khan,83,1523,1983.0,95,101,10,717,253.83,7.81,20.87,16.03
SO Ngoche,79,1618,1667.0,95,13,3,789,269.67,6.18,17.55,17.03
AR Ramjani,56,1215,948.0,95,9,0,664,202.5,4.68,9.98,12.79
Bilal Khan,68,1478,1692.0,95,37,9,759,246.33,6.87,17.81,15.56
Junaid Siddique,65,1460,1922.0,93,98,5,721,243.33,7.9,20.67,15.7
H Ishimwe,67,1280,943.0,93,51,4,806,213.33,4.42,10.14,13.76
IJR Zwilling,81,1733,1456.0,92,68,0,1080,288.83,5.04,15.83,18.84
PVD Chameera,75,1632,2181.0,92,71,14,744,272.0,8.02,23.71,17.74
AR Patel,84,1594,1999.0,92,24,1,670,265.67,7.52,21.73,17.33
Kuldeep Yadav,50,1085,1243.0,92,28,1,474,180.83,6.87,13.51,11.79
AJ Hosein,91,1940,2409.0,91,33,10,818,323.33,7.45,26.47,21.32
J Mbabazi,73,1458,1166.0,91,56,1,859,243.0,4.8,12.81,16.02
DM Nakrani,70,1417,1340.0,90,29,5,740,236.17,5.67,14.89,15.74
B Muzarabani,76,1639,1887.0,90,51,11,842,273.17,6.91,20.97,18.21
N Boochatham,78,1571,1171.0,89,35,2,961,261.83,4.47,13.16,17.65
S Glenn,70,1453,1467.0,89,25,1,645,242.17,6.06,16.48,16.33
S Laomi,83,1678,1246.0,88,30,5,937,279.67,4.46,14.16,19.07
SFM Devine,92,1483,1759.0,88,77,8,706,247.17,7.12,19.99,16.85
S Ismail,85,1784,1752.0,88,33,8,970,297.33,5.89,19.91,20.27
AN Kelly,63,1211,1216.0,87,36,1,603,201.83,6.02,13.98,13.92
L Ngidi,63,1275,1840.0,87,53,8,603,212.5,8.66,21.15,14.66
T Shamsi,69,1498,1854.0,86,57,0,596,249.67,7.43,21.56,17.42
Z Bimenyimana,80,1505,1801.0,85,73,8,832,250.83,7.18,21.19,17.71
B Kumar,85,1767,2075.0,85,76,0,947,294.5,7.05,24.41,20.79
Saeed Ajmal,63,1430,1516.0,85,27,0,647,238.33,6.36,17.84,16.82
KH Brunt,81,1697,1640.0,84,66,8,984,282.83,5.8,19.52,20.2
Umar Gul,58,1161,1428.0,84,48,15,546,193.5,7.38,17.0,13.82
A Shrubsole,66,1348,1335.0,84,52,4,792,224.67,5.94,15.89,16.05
MRJ Watt,73,1591,1871.0,84,40,1,655,265.17,7.06,22.27,18.94
PA van Meekeren,72,1476,1758.0,84,74,12,768,246.0,7.15,20.93,17.57
L Delany,90,1499,1545.0,84,66,4,689,249.83,6.18,18.39,17.85
EA Perry,95,1592,1570.0,83,52,21,906,265.33,5.92,18.92,19.18
I Ranaweera,78,1574,1583.0,83,33,6,685,262.33,6.03,19.07,18.96
Sompal Kami,83,1546,1857.0,82,55,11,794,257.67,7.21,22.65,18.85
ER Oza,81,1390,1175.0,82,34,2,759,231.67,5.07,14.33,16.95
Imran Anwar,86,1523,1804.0,82,42,9,707,253.83,7.11,22.0,18.57
JL Jonassen,85,1687,1611.0,82,30,1,791,281.17,5.73,19.65,20.57
CA Young,63,1279,1750.0,81,37,5,550,213.17,8.21,21.6,15.79
IO Okpe,78,1372,1535.0,81,32,30,664,228.67,6.71,18.95,16.94
M Theekshana,78,1759,2066.0,81,47,2,736,293.17,7.05,25.51,21.72
BM Scholtz,76,1594,1673.0,81,18,0,667,265.67,6.3,20.65,19.68
A Gardner,87,1540,1695.0,81,23,0,638,256.67,6.6,20.93,19.01
