player_name,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,batting_cluster,bowling_cluster
A Adekunle,12.0,24.0,53.0,39.0,11.0,5.0,1.0,0.0,0.0,7.0,3.43,45.28,0.0,16.0,300.0,220.0,12.0,13.0,1.0,181.0,50.0,4.4,18.33,25.0,3,2
A Ahmadhel,4.0,8.0,24.0,23.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,33.33,0.04,2.0,10.0,21.0,1.0,2.0,0.0,6.0,1.67,12.6,21.0,10.0,-1,-1
A Aikenhead,17.0,226.0,261.0,155.0,79.0,28.0,1.0,22.0,0.0,14.0,16.14,86.59,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Aitken,1.0,7.0,18.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,38.89,0.0,3.0,42.0,40.0,0.0,2.0,0.0,14.0,7.0,5.71,0.0,0.0,-1,2
A Aitken-Drummond,16.0,162.0,201.0,108.0,74.0,8.0,0.0,15.0,2.0,14.0,11.57,80.6,0.08,6.0,82.0,63.0,4.0,1.0,1.0,47.0,13.67,4.61,15.75,20.5,0,2
A Akhigbe,13.0,86.0,135.0,97.0,30.0,3.0,0.0,11.0,1.0,10.0,8.6,63.7,0.09,13.0,224.0,182.0,11.0,11.0,0.0,150.0,37.33,4.88,16.55,20.36,0,2
A Akurut,5.0,4.0,21.0,17.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,19.05,0.0,3.0,44.0,17.0,3.0,0.0,0.0,33.0,7.33,2.32,5.67,14.67,-1,1
A Alexander,8.0,50.0,33.0,14.0,13.0,1.0,1.0,2.0,4.0,5.0,10.0,151.52,0.18,8.0,99.0,104.0,8.0,8.0,1.0,60.0,16.5,6.3,13.0,12.38,1,2
A Alfonso,9.0,22.0,55.0,42.0,14.0,2.0,0.0,1.0,0.0,6.0,3.67,40.0,0.02,1.0,24.0,15.0,1.0,2.0,0.0,18.0,4.0,3.75,15.0,24.0,3,-1
A Amado,2.0,19.0,28.0,16.0,9.0,1.0,0.0,2.0,0.0,2.0,9.5,67.86,0.07,2.0,12.0,20.0,1.0,6.0,0.0,14.0,2.0,10.0,20.0,12.0,-1,-1
A Amuzu,1.0,7.0,23.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,30.43,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Andrews,1.0,4.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,66.67,0.17,3.0,60.0,61.0,4.0,2.0,0.0,31.0,10.0,6.1,15.25,15.0,-1,2
A Andriani,5.0,38.0,33.0,21.0,4.0,2.0,2.0,6.0,0.0,3.0,12.67,115.15,0.18,7.0,156.0,92.0,10.0,5.0,1.0,107.0,26.0,3.54,9.2,15.6,0,2
A Argyropoulou,24.0,265.0,406.0,325.0,104.0,31.0,1.0,24.0,0.0,21.0,12.62,65.27,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Ashok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,28.0,1.0,1.0,0.0,10.0,4.0,7.0,28.0,24.0,-1,-1
A Ashokan,22.0,572.0,498.0,209.0,206.0,58.0,2.0,28.0,22.0,15.0,38.13,114.86,0.1,18.0,342.0,435.0,15.0,21.0,0.0,156.0,57.0,7.63,29.0,22.8,1,3
A Athanaze,14.0,326.0,252.0,130.0,70.0,15.0,0.0,31.0,17.0,13.0,25.08,129.37,0.19,1.0,6.0,16.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,0.0,1,-1
A Augastin,13.0,315.0,262.0,124.0,91.0,18.0,0.0,35.0,8.0,10.0,31.5,120.23,0.16,8.0,128.0,114.0,8.0,4.0,0.0,81.0,21.33,5.34,14.25,16.0,1,2
A Awasthi,5.0,11.0,50.0,45.0,9.0,1.0,0.0,0.0,0.0,4.0,2.75,22.0,0.0,2.0,24.0,73.0,1.0,3.0,0.0,6.0,4.0,18.25,73.0,24.0,3,-1
A Bagai,4.0,165.0,154.0,47.0,84.0,11.0,1.0,14.0,0.0,3.0,55.0,107.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1
A Balbirnie,89.0,2028.0,1654.0,716.0,574.0,113.0,8.0,211.0,60.0,85.0,23.86,122.61,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
A Beresford-Peirse,7.0,84.0,122.0,74.0,38.0,11.0,0.0,3.0,2.0,7.0,12.0,68.85,0.04,9.0,186.0,255.0,5.0,15.0,1.0,95.0,31.0,8.23,51.0,37.2,0,1
A Bester,8.0,61.0,89.0,56.0,22.0,6.0,1.0,6.0,0.0,8.0,7.62,68.54,0.07,9.0,168.0,158.0,16.0,13.0,0.0,109.0,28.0,5.64,9.88,10.5,3,2
A Bhadauria,2.0,40.0,31.0,13.0,11.0,1.0,1.0,6.0,0.0,2.0,20.0,129.03,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
A Bhagwat,3.0,2.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.67,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Bhargava,2.0,7.0,6.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,116.67,0.17,1.0,12.0,14.0,1.0,1.0,0.0,9.0,2.0,7.0,14.0,12.0,-1,-1
A Bhattarai,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,66.67,0.0,1.0,18.0,12.0,1.0,1.0,0.0,11.0,3.0,4.0,12.0,18.0,-1,-1
A Bidari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,17.0,0.0,2.0,0.0,15.0,4.0,4.25,0.0,0.0,-1,-1
A Bierwisch,17.0,153.0,283.0,193.0,89.0,24.0,0.0,4.0,0.0,13.0,11.77,54.06,0.01,6.0,92.0,68.0,8.0,8.0,4.0,79.0,15.33,4.43,8.5,11.5,0,2
A Bishnoi,8.0,11.0,21.0,13.0,9.0,1.0,0.0,0.0,0.0,4.0,2.75,52.38,0.0,12.0,203.0,306.0,12.0,25.0,7.0,126.0,33.83,9.04,25.5,16.92,-1,0
A Bohara,13.0,23.0,33.0,20.0,11.0,1.0,0.0,1.0,1.0,7.0,3.29,69.7,0.06,57.0,1170.0,1449.0,67.0,28.0,1.0,438.0,195.0,7.43,21.63,17.46,0,3
